TransactionID,Amount,TransactionTime,MerchantCategory,Age,CardType,Country,Fraud
1,46.93,60598,Online,39,Credit,USA,0
2,301.01,66399,Grocery,49,Debit,USA,0
3,131.67,27684,Electronics,41,Credit,Canada,0
4,91.29,68591,Clothing,28,Credit,UK,0
5,16.96,77722,Online,28,Debit,France,0
6,16.96,2682,Travel,34,Debit,USA,0
7,5.98,38046,Travel,49,Debit,Canada,0
8,201.12,21832,Travel,36,Debit,Canada,0
9,91.91,16997,Clothing,44,Debit,Germany,0
10,123.13,34640,Grocery,49,Debit,UK,0
11,2.08,76882,Fuel,78,Credit,Canada,0
12,350.36,40491,Grocery,42,Credit,Canada,0
13,178.64,63043,Online,45,Debit,France,0
14,23.87,72725,Grocery,57,Credit,Germany,0
15,20.07,45520,Travel,69,Credit,Germany,0
16,20.26,62919,Grocery,44,Debit,UK,0
17,36.28,64442,Online,31,Debit,Canada,0
18,74.39,21770,Online,59,Debit,Germany,0
19,56.55,47498,Travel,74,Debit,India,0
20,34.42,61477,Clothing,56,Debit,UK,0
21,94.64,244,Electronics,19,Debit,UK,0
22,15.02,32788,Fuel,34,Credit,India,0
23,34.55,79453,Fuel,18,Credit,UK,0
24,45.63,57737,Travel,62,Debit,Germany,0
25,60.89,46489,Fuel,49,Credit,Germany,0
26,153.79,71303,Grocery,36,Credit,Germany,0
27,22.27,28390,Online,78,Debit,India,0
28,72.2,10247,Online,31,Credit,Germany,0
29,89.75,69051,Travel,48,Debit,India,0
30,4.76,59719,Online,75,Debit,India,0
31,93.53,34678,Electronics,35,Debit,India,0
32,18.7,76286,Online,69,Debit,UK,0
33,6.73,29583,Online,31,Debit,France,1
34,297.37,8076,Grocery,64,Debit,Canada,0
35,337.06,18006,Clothing,31,Credit,India,0
36,165.23,15051,Fuel,41,Credit,Germany,0
37,36.33,4314,Grocery,22,Debit,India,0
38,10.28,28670,Grocery,33,Debit,Canada,0
39,115.28,67551,Grocery,22,Credit,USA,0
40,58.01,10236,Fuel,71,Debit,UK,0
41,13.02,35568,Travel,30,Debit,Germany,0
42,68.35,60314,Grocery,77,Debit,UK,0
43,3.5,16352,Clothing,33,Credit,UK,0
44,240.04,45650,Travel,32,Credit,USA,0
45,29.95,10346,Online,48,Credit,India,0
46,108.63,25156,Clothing,22,Debit,Germany,0
47,37.35,55904,Travel,38,Credit,France,0
48,73.41,14035,Online,47,Debit,UK,0
49,79.12,16108,Online,40,Debit,Canada,0
50,20.44,2853,Grocery,55,Debit,France,0
51,349.28,84156,Grocery,46,Credit,France,0
52,149.22,4176,Fuel,30,Debit,India,0
53,280.51,25920,Electronics,49,Debit,France,0
54,225.22,54850,Clothing,65,Credit,Germany,0
55,91.11,6829,Fuel,79,Credit,India,0
56,254.94,73927,Fuel,59,Credit,Canada,0
57,9.27,84860,Clothing,44,Debit,France,0
58,21.81,40667,Travel,51,Credit,India,0
59,4.63,65842,Clothing,62,Credit,Germany,0
60,39.35,35843,Online,66,Debit,UK,0
61,49.21,50808,Electronics,50,Debit,USA,0
62,31.66,30543,Travel,21,Debit,India,0
63,176.46,72780,Grocery,35,Debit,Canada,0
64,44.12,6611,Electronics,23,Debit,USA,0
65,32.98,84612,Electronics,45,Debit,UK,0
66,78.24,46902,Grocery,61,Debit,Canada,0
67,15.19,33043,Electronics,74,Debit,Germany,0
68,162.05,5271,Travel,75,Credit,Canada,0
69,7.75,72867,Travel,44,Debit,UK,0
70,433.41,77089,Travel,79,Debit,USA,0
71,147.95,58745,Fuel,43,Credit,Germany,0
72,22.15,62077,Fuel,73,Debit,Canada,0
73,0.55,59119,Travel,37,Debit,France,0
74,168.99,11573,Grocery,30,Debit,France,0
75,122.71,21409,Grocery,45,Credit,India,0
76,130.57,85970,Clothing,51,Prepaid,France,0
77,147.52,24464,Clothing,66,Credit,Canada,0
78,7.69,42840,Travel,40,Credit,USA,0
79,44.39,48785,Electronics,27,Debit,France,0
80,12.32,20662,Electronics,68,Credit,India,0
81,198.85,18228,Grocery,47,Prepaid,Germany,0
82,97.63,60721,Electronics,39,Debit,France,0
83,40.18,49223,Online,22,Credit,India,0
84,6.57,7386,Fuel,70,Debit,France,0
85,37.25,6862,Electronics,61,Debit,France,0
86,39.33,40108,Electronics,67,Credit,Canada,0
87,130.79,75023,Clothing,79,Debit,USA,0
88,101.49,80140,Online,26,Debit,India,0
89,218.23,82963,Electronics,60,Credit,India,0
90,63.91,27201,Fuel,21,Credit,UK,0
91,12.74,68578,Electronics,59,Credit,UK,0
92,124.91,49966,Grocery,18,Debit,India,0
93,143.04,54774,Online,51,Debit,Canada,0
94,82.39,10386,Electronics,58,Prepaid,USA,0
95,147.39,77228,Online,72,Debit,France,0
96,68.08,15225,Electronics,43,Credit,Germany,0
97,73.97,16693,Fuel,35,Credit,Canada,1
98,55.78,72197,Fuel,33,Credit,France,0
99,2.57,43021,Online,40,Debit,Germany,0
100,11.42,18261,Travel,63,Debit,USA,0
101,3.19,27378,Clothing,53,Credit,UK,0
102,101.17,11937,Clothing,43,Debit,India,0
103,37.74,66330,Grocery,19,Credit,USA,0
104,71.04,47366,Travel,61,Credit,Germany,0
105,238.13,72322,Clothing,69,Debit,Canada,0
106,28.67,40160,Online,22,Credit,India,0
107,52.83,45313,Clothing,46,Debit,Germany,0
108,140.87,27032,Grocery,79,Debit,France,0
109,25.98,17358,Electronics,21,Debit,France,0
